Terminal Name	Type	Name
City Thameslink	South London Terminal	City Thameslink
London Blackfriars	London Terminal	London Blackfriars
London Bridge	London Terminal	London Bridge
London Bridge	London Terminal	London Bridge (C)
London Bridge	London Terminal	London Bridge (E)
London Cannon Street	London Terminal	London Cannon Street
London Charing Cross	London Terminal	London Charing Cross
London Euston	London Terminal	London Euston
London Fenchurch Street	London Terminal	London Fenchurch Street
London Kings Cross	London Terminal	London Kings Cross
London Marylebone	London Terminal	London Marylebone
London Paddington	London Terminal	London Paddington
London St. Pancras	London Terminal	London St. Pancras
London Victoria	London Terminal	London Victoria
London Victoria	London Terminal	London Victoria (C)
London Waterloo	London Terminal	London Waterloo
London Waterloo East	South London Terminal	London Waterloo (East)
London Waterloo	London Terminal	London Waterloo (Int)
London Waterloo	London Terminal	London Waterloo (Main)
Moorgate	London Terminal	Moorgate (GN)
Old Street	North London Terminal	Old Street
Vauxhall	South London Terminal	Vauxhall
